id,client_order_id,created_at,updated_at,submitted_at,filled_at,expired_at,canceled_at,failed_at,replaced_at,replaced_by,replaces,asset_id,symbol,asset_class,qty,filled_qty,filled_avg_price,order_class,order_type,type,side,time_in_force,limit_price,stop_price,status,extended_hours,legs
fed06a5d-6e67-475d-88e4-4e47acae73b0,98b014b5-76c3-4501-9d01-790265a49df1,2020-06-19T13:45:38.330246Z,2020-06-19T13:45:38.504512Z,2020-06-19T13:45:38.323531Z,2020-06-19T13:45:38.494175Z,,,,,,,983b74a7-6c82-4947-b566-74f33d6faecc,GEL,us_equity,52,52,9.33,,market,market,sell,day,,,filled,False,
ee906e51-71bb-40f8-8c27-1873990545db,c6604835-6e04-423c-9909-a92ed076ddb0,2020-06-19T13:45:37.258137Z,2020-06-19T13:45:37.563681Z,2020-06-19T13:45:37.244074Z,2020-06-19T13:45:37.527424Z,,,,,,,32ffdbaf-3b80-4921-9500-8795c9c7a4f6,GMBL,us_equity,69,69,6.88,,market,market,sell,day,,,filled,False,
4a5a373b-dd31-4a88-bde9-883eedab4d63,f47fc54c-fb16-40d8-b9d2-875c6048c442,2020-06-19T13:45:36.191116Z,2020-06-19T13:45:36.386722Z,2020-06-19T13:45:36.185694Z,2020-06-19T13:45:36.366153Z,,,,,,,e28ec789-49d8-4bab-a55d-518762ded803,IDEX,us_equity,205,205,2.11,,market,market,sell,day,,,filled,False,
6a3d84de-5aac-4509-b5fc-c8dd06c0ef65,50c27e73-6d74-446f-8d90-4edaca72a1de,2020-06-19T13:45:35.009475Z,2020-06-19T13:45:35.182752Z,2020-06-19T13:45:34.993504Z,2020-06-19T13:45:35.1716Z,,,,,,,5e6a061a-55bb-4b76-b3bc-c8a2a812c364,ISEE,us_equity,93,93,6.26,,market,market,sell,day,,,filled,False,
26ec6092-c1b2-4dcc-84b4-a7fa72e39d93,44718b77-a00b-4ac3-8bba-0a1c9d6e4c60,2020-06-19T13:45:33.984223Z,2020-06-19T13:45:34.121497Z,2020-06-19T13:45:33.969952Z,2020-06-19T13:45:34.099244Z,,,,,,,c06f3f1f-5a58-4c17-b6f4-f3bfc3136895,LGHL,us_equity,147,147,2.52,,market,market,sell,day,,,filled,False,
9865cf59-aad7-4827-b421-e020dd84883a,44811fde-6bdc-41ec-9c72-b0b20bb5bc04,2020-06-19T13:45:32.951405Z,2020-06-19T13:45:33.157199Z,2020-06-19T13:45:32.935617Z,2020-06-19T13:45:33.129516Z,,,,,,,7f76a717-fc5a-4662-a389-85ede913b3c1,MCF,us_equity,158,158,3.12,,market,market,sell,day,,,filled,False,
1ddf4dd4-4021-4e7d-946d-7f493df83d08,05b7eb80-2b29-47d4-98d5-249e6accf6ce,2020-06-19T13:45:31.662777Z,2020-06-19T13:45:31.967947Z,2020-06-19T13:45:31.655255Z,2020-06-19T13:45:31.94538Z,,,,,,,655e2f90-161b-487c-a726-9171ef4dc6fa,MTBC,us_equity,62,62,8.28,,market,market,sell,day,,,filled,False,
c40ebcf3-517a-4754-a153-219e173542f0,941e0a6a-051f-4582-b69f-95c9e5945a66,2020-06-19T13:45:30.578714Z,2020-06-19T13:45:30.710855Z,2020-06-19T13:45:30.57119Z,2020-06-19T13:45:30.698679Z,,,,,,,5641fff6-bf88-49d8-8717-54fb1b02493e,NDLS,us_equity,90,90,6,,market,market,sell,day,,,filled,False,
d72cd3f5-a748-4cdd-af76-b409e22e8829,b6f82076-9903-4286-98ac-6c5d4b03a8fa,2020-06-19T13:45:29.500953Z,2020-06-19T13:45:29.702369Z,2020-06-19T13:45:29.494122Z,2020-06-19T13:45:29.688818Z,,,,,,,612be2a4-90a0-417e-962d-b7113ab503f0,PETZ,us_equity,215,215,1.68,,market,market,sell,day,,,filled,False,
83715ad1-8bc5-497f-99aa-5889496f68b4,b9886fb8-53ae-4934-b0ff-70c22a83428c,2020-06-19T13:45:28.489197Z,2020-06-19T13:45:28.798386Z,2020-06-19T13:45:28.483106Z,2020-06-19T13:45:28.789157Z,,,,,,,3d389e85-53d4-4897-8205-53a3ca395c05,SBLK,us_equity,66,66,7.51,,market,market,sell,day,,,filled,False,
6543958d-8c06-421d-896f-3821ef664b66,05fc29bf-de00-408d-abe0-590bb27e4f90,2020-06-19T13:45:27.436508Z,2020-06-19T13:45:27.637915Z,2020-06-19T13:45:27.427744Z,2020-06-19T13:45:27.60413Z,,,,,,,d188e440-b2fc-4889-9c8f-ff6377622732,VMD,us_equity,45,45,11.15,,market,market,sell,day,,,filled,False,
e62ae39f-8d78-4e96-b9fe-91dd4fbcaa3d,837509a2-94a4-44b1-bb50-c49f39fbecc1,2020-06-18T14:11:04.431512Z,2020-06-18T14:11:04.746491Z,2020-06-18T14:11:04.410042Z,2020-06-18T14:11:04.711579Z,,,,,,,255adf82-f431-4210-b873-4d454b1b0c62,AGTC,us_equity,87,87,5.73,,limit,limit,buy,day,5.73,,filled,False,
